epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_loss,validation_generator_loss
0,0,,,3.7867488861083984,2.4689478874206543
1,1,,,3.7573294639587402,2.367633581161499
2,2,,,3.7793617248535156,2.3749406337738037
3,3,,,3.715603828430176,2.3320372104644775
4,4,,,3.7122879028320312,2.226301908493042
5,5,,,3.7465076446533203,2.422842264175415
6,6,,,3.7511184215545654,2.4205892086029053
7,7,,,3.7428033351898193,2.372551202774048
8,8,,,3.7522661685943604,2.322913408279419
9,9,,,3.7473793029785156,2.2775442600250244
10,10,,,3.738027572631836,2.549948215484619
11,11,,,3.7545957565307617,2.1623668670654297
12,12,,,3.687349796295166,2.3175208568573
13,13,,,3.7535619735717773,2.448338508605957
14,14,,,3.7300004959106445,2.3175063133239746
15,15,,,3.698761224746704,2.4817609786987305
16,16,,,3.6848502159118652,2.2957353591918945
17,17,,,3.8736612796783447,2.1914286613464355
18,18,,,3.7894997596740723,2.4734978675842285
19,19,,,3.773059844970703,2.364326000213623
20,20,,,3.7216193675994873,2.1789937019348145
21,21,,,3.8271541595458984,2.316493034362793
22,22,,,3.7253293991088867,2.3659496307373047
23,23,,,3.721620559692383,2.358442783355713
24,24,,,3.733673334121704,2.374572277069092
25,25,,,3.8004584312438965,2.464637517929077
26,26,,,3.728923797607422,2.451334238052368
27,27,,,3.698207378387451,2.4454143047332764
28,28,,,3.7745258808135986,1.9587236642837524
29,29,,,3.7694528102874756,2.2893049716949463
30,30,,,3.7604148387908936,2.346266031265259
31,31,,,3.733689546585083,2.49534273147583
32,32,,,3.7270710468292236,2.3515117168426514
33,33,,,3.710662603378296,2.266843795776367
34,34,,,3.7840845584869385,2.575705051422119
35,35,,,3.8167431354522705,2.506065845489502
36,36,,,3.798038959503174,2.250392436981201
37,37,,,3.7958264350891113,2.4000532627105713
38,38,,,3.7822318077087402,2.6300110816955566
39,39,,,3.7934212684631348,2.3657493591308594
40,40,,,3.7871813774108887,2.261859178543091
41,41,,,3.6606826782226562,2.4755358695983887
42,42,,,3.720919609069824,2.498953104019165
43,43,,,3.7440950870513916,2.5240397453308105
44,44,,,3.7037618160247803,2.3261525630950928
45,45,,,3.7189998626708984,2.350465774536133
46,46,,,3.729112386703491,2.330723762512207
47,47,,,3.7515368461608887,2.3719472885131836
48,48,,,3.74652099609375,2.4156153202056885
49,49,4.014115810394287,2.1670114994049072,,
49,49,,,3.7152903079986572,2.4597339630126953
