epoch,step,train_discriminator_loss,train_generator_loss,validation_discriminator_loss,validation_generator_loss
1,3,,,1.1218938827514648,1.1917752027511597
2,5,,,1.1134397983551025,1.105790376663208
3,7,,,1.1068812608718872,1.1416841745376587
4,9,,,1.1146955490112305,1.2472825050354004
5,11,,,1.1153169870376587,1.213423728942871
6,13,,,1.125457525253296,1.115488052368164
7,15,,,1.1061463356018066,1.1855576038360596
8,17,,,1.1208415031433105,1.1838624477386475
9,19,,,1.111554503440857,1.1557941436767578
10,21,,,1.1184414625167847,1.1786086559295654
11,23,,,1.1223769187927246,1.227804183959961
12,25,,,1.115181565284729,1.0889441967010498
13,27,,,1.1146825551986694,1.1610428094863892
14,29,,,1.131313443183899,1.2319631576538086
15,31,,,1.1080307960510254,1.1613295078277588
16,33,,,1.1113090515136719,1.2098735570907593
17,35,,,1.1145449876785278,1.1362626552581787
18,37,,,1.1177865266799927,1.1469839811325073
19,39,,,1.110361099243164,1.1712732315063477
20,41,,,1.1143183708190918,1.2158544063568115
21,43,,,1.115578055381775,1.218902587890625
22,45,,,1.1061792373657227,1.1172552108764648
23,47,,,1.1177759170532227,1.221970796585083
24,49,2.019040822982788,1.3748514652252197,,
24,49,,,1.1177558898925781,1.2473995685577393
25,51,,,1.1147884130477905,1.2788907289505005
26,53,,,1.11155104637146,1.2355661392211914
27,55,,,1.104970932006836,1.2548824548721313
28,57,,,1.1220910549163818,1.2763371467590332
29,59,,,1.1032259464263916,1.1240544319152832
30,61,,,1.1076561212539673,1.1602494716644287
31,63,,,1.1053576469421387,1.179306983947754
32,65,,,1.1045737266540527,1.2856043577194214
33,67,,,1.101872444152832,1.1687934398651123
34,69,,,1.1069955825805664,1.253736972808838
35,71,,,1.1155095100402832,1.1729645729064941
36,73,,,1.1055607795715332,1.0909202098846436
37,75,,,1.1109063625335693,1.2364606857299805
38,77,,,1.1139023303985596,1.2196626663208008
39,79,,,1.1172218322753906,1.2846258878707886
40,81,,,1.10685396194458,1.1574183702468872
41,83,,,1.109674334526062,1.1535060405731201
42,85,,,1.1194355487823486,1.0680251121520996
43,87,,,1.122732162475586,1.2457706928253174
44,89,,,1.1152790784835815,1.0889216661453247
45,91,,,1.1157681941986084,1.2035342454910278
46,93,,,1.1110115051269531,1.274863362312317
47,95,,,1.1104469299316406,1.1504520177841187
48,97,,,1.1113758087158203,1.1995116472244263
49,99,1.3678264617919922,1.064878225326538,,
49,99,,,1.1119472980499268,1.1791067123413086
50,101,,,1.109943151473999,1.2014973163604736
51,103,,,1.1143198013305664,1.0929358005523682
52,105,,,1.115703821182251,1.239579200744629
53,107,,,1.112471342086792,1.1149399280548096
54,109,,,1.1053779125213623,1.1066522598266602
55,111,,,1.1039271354675293,1.213104248046875
56,113,,,1.124229073524475,1.15599524974823
57,115,,,1.1090017557144165,1.114016056060791
58,117,,,1.1193175315856934,1.2013624906539917
59,119,,,1.1080245971679688,1.2612124681472778
60,121,,,1.1161203384399414,1.1459355354309082
61,123,,,1.1064828634262085,1.2452863454818726
62,125,,,1.1183171272277832,1.2151784896850586
63,127,,,1.1105178594589233,1.1709325313568115
64,129,,,1.104705810546875,1.235647201538086
65,131,,,1.1100001335144043,1.2853786945343018
66,133,,,1.1175748109817505,1.2148497104644775
67,135,,,1.1231727600097656,1.1440856456756592
68,137,,,1.1077741384506226,1.223989486694336
69,139,,,1.1146246194839478,1.2679997682571411
70,141,,,1.1195704936981201,1.1827392578125
71,143,,,1.1103920936584473,1.140254020690918
72,145,,,1.1153500080108643,1.132573127746582
73,147,,,1.1069788932800293,1.134885311126709
74,149,1.0044275522232056,1.4089637994766235,,
74,149,,,1.1131190061569214,1.1966713666915894
75,151,,,1.1058409214019775,1.1951264142990112
76,153,,,1.1066336631774902,1.1768845319747925
77,155,,,1.103971004486084,1.234727382659912
78,157,,,1.1069810390472412,1.1822316646575928
79,159,,,1.1131031513214111,1.255751609802246
80,161,,,1.1075127124786377,1.1921309232711792
81,163,,,1.1093356609344482,1.2212327718734741
82,165,,,1.1100003719329834,1.1933233737945557
83,167,,,1.1028064489364624,1.1023935079574585
84,169,,,1.1037180423736572,1.158210277557373
85,171,,,1.1128301620483398,1.2934908866882324
86,173,,,1.109448790550232,1.169310212135315
87,175,,,1.1215178966522217,1.1879465579986572
88,177,,,1.1048152446746826,1.2863821983337402
89,179,,,1.1190707683563232,1.306964635848999
90,181,,,1.1091029644012451,1.2357463836669922
91,183,,,1.1048290729522705,1.2129402160644531
92,185,,,1.1161718368530273,1.1431775093078613
93,187,,,1.1080442667007446,1.180152416229248
94,189,,,1.1064732074737549,1.1352128982543945
95,191,,,1.10872220993042,1.3090643882751465
96,193,,,1.1170763969421387,1.2099308967590332
97,195,,,1.1068575382232666,1.2390869855880737
98,197,,,1.109729528427124,1.2347941398620605
99,199,1.7334320545196533,1.1474249362945557,,
99,199,,,1.1127793788909912,1.2190892696380615
100,201,,,1.1127843856811523,1.1108449697494507
101,203,,,1.119847297668457,1.182081937789917
102,205,,,1.1060874462127686,1.1820290088653564
103,207,,,1.1135629415512085,1.0817949771881104
104,209,,,1.1095149517059326,1.207878589630127
105,211,,,1.1177685260772705,1.1969391107559204
106,213,,,1.1098802089691162,1.287640929222107
107,215,,,1.1252864599227905,1.2292606830596924
108,217,,,1.1135878562927246,1.2133874893188477
109,219,,,1.112062692642212,1.0329762697219849
110,221,,,1.106071949005127,1.1646199226379395
111,223,,,1.105830192565918,1.2040927410125732
112,225,,,1.106863260269165,1.1904194355010986
113,227,,,1.1211597919464111,1.1454240083694458
114,229,,,1.109039068222046,1.2101011276245117
115,231,,,1.1252224445343018,1.3927818536758423
116,233,,,1.1143534183502197,1.2333984375
117,235,,,1.1076209545135498,1.2139437198638916
